,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene1,3.67855428675647,-0.536978596304864,1.2950933054894,-0.414625412724179,0.67841614176302,0.768676956050942
gene2,134.057237218613,-0.793153368487125,0.362670513171316,-2.18698057791222,0.0287439418669049,0.0670392314267638
gene3,219.397860515815,1.97061321195881,0.428310756555305,4.60089591913941,4.20677603207138e-06,3.0270159640366e-05
gene4,82.7950338940484,-1.6841185827762,0.549952819292642,-3.06229648016414,0.00219645781926493,0.0079169921396795
gene5,32.0696943172751,2.1253303634467,0.660404057277817,3.21822729588807,0.00128985559377446,0.00503043681572038
gene6,161.222825463376,1.35221159666149,0.42332818230486,3.19423948885051,0.00140199757744929,0.0054136540119329
gene7,99.6324590727081,2.00019052389754,0.527945924857401,3.78862764105584,0.000151481758897876,0.00075935586079912
gene8,2.7003862094834,-2.87238610408329,1.81238234823911,-1.58486762292408,0.112996414119301,0.204399821458847
gene9,88.9573705343378,2.80168489843164,0.597842966659261,4.68632242022921,2.78157947780086e-06,2.08618460835065e-05
gene10,13.1699719410428,-1.76997265051794,0.783599760152932,-2.25877130203882,0.0238976145380656,0.0578886314897241
gene11,4.67974540279049,-1.69826144899011,1.28838837689163,-1.31812850802593,0.187460632721146,0.303359530129655
gene12,40.4424847340477,-1.30786692438083,0.646065953497802,-2.02435512551008,0.0429336254472504,0.0922032705089629
gene13,14.8203501925074,-2.06107376422663,0.810559363536276,-2.5427795383606,0.0109974593476112,0.0306796076220914
gene14,3.25174307663816,-5.1397816030549,3.6913475362845,-1.39238626342626,0.163805461884218,0.272543217298826
gene15,28.8364373314273,-1.28918922987612,0.632760352047054,-2.0374051972527,0.0416094534787138,0.0898543015321062
gene16,8.34931432409651,1.81459398987274,1.16710279106773,1.55478506585752,0.119997267043202,0.215266486416048
gene17,15.7519097402823,-1.01884862055938,0.732865732410132,-1.39022548811056,0.164460416004717,0.273346156272709
gene18,313.61866730018,3.64765828729153,0.440508890961819,8.28055542608261,1.22602088464143e-16,5.6922398215495e-15
gene19,28.338257996628,2.6726730211682,0.834740960559494,3.2017992975651,0.00136572116385202,0.00529454526741838
gene20,11.8193105484137,-3.46205319540896,1.12242188741813,-3.08444911331211,0.00203929492650526,0.00746083509697048
gene21,25.2003912285271,3.04732685704572,0.869986040734824,3.50273075010701,0.000460514711406489,0.00203628954023278
gene22,21.2767391687669,-0.576488106621575,0.712525652815535,-0.80907698458798,0.418470865868106,0.546812622920559
gene23,6.24282968977396,0.316084165943484,1.15372425763099,0.273968553450127,0.784108788081605,0.845225061779508
gene24,5.49673847801158,-1.16670794291468,1.15008854226606,-1.01445054014352,0.310367818642546,0.440478345235054
gene25,516.359410041127,-1.95472694351402,0.410737052342637,-4.7590713629687,1.94485670199272e-06,1.51698822755433e-05
gene26,38.0941461576441,3.23889285753329,0.62537391020607,5.17913012467378,2.22922937162355e-07,2.11019285177957e-06
gene27,0.919907704040598,-3.31781868378599,3.16612019328175,-1.0479130548569,0.294678666932067,0.425331902677668
gene28,8.32889833682452,1.0970128302276,0.997024885818312,1.10028630762534,0.271207396057016,0.400647289629682
gene29,28.2731265987996,1.89443591491369,0.696447246846467,2.72014272939084,0.00652537437115556,0.0195761231134667
gene30,350.287426644495,-0.641407113779164,0.357761716152806,-1.79283328768807,0.072999585110357,0.143208441614886
gene31,8.75547229392567,2.48647980251072,1.11115913701178,2.23773509994038,0.0252383348833072,0.0606840357860037
gene32,78.1695533785496,2.87304580368631,0.599452981468251,4.79277923791338,1.64486593493681e-06,1.29334216658338e-05
gene33,6.85227336857722,-1.25847876091339,1.19207428197067,-1.05570498411638,0.291103019365574,0.422988739018531
gene34,5.51435789708886,-1.3565850922573,1.30340254841695,-1.04080285396476,0.29796705523819,0.429442540808922
gene35,5.53171807691065,-1.35767275814697,1.41033948422752,-0.962656703106203,0.335719831528375,0.467609765343093
