,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene1,6.61819569665168,-0.991478265745506,0.841799743489599,-1.17780775465128,0.238873256435245,0.345634248474315
gene2,0.949400389832659,0.308743792456463,2.18307163006245,0.141426322528698,0.887533160883674,0.916896584562856
gene3,45.8341136916033,-2.49537749141984,0.481055696053302,-5.18729434427765,2.13371346999063e-07,1.65005003771614e-06
gene4,5.01626343325587,2.38975316467123,1.1207356109174,2.13230769272608,0.032981560067177,0.0696317342312483
gene5,384.166196617205,3.15425876793833,0.354585042924757,8.89563401186007,5.80867149494093e-19,2.29501796208278e-17
gene6,8.79583757810832,0.950404176681595,0.811538526166552,1.17111405809777,0.241552933840005,0.348729664365585
gene7,2.2501570002587,0.155604842363145,1.56431852987456,0.0994713284995879,0.920764051518888,0.943174181873315
gene8,2.87854695217365,-0.485750331722192,1.3754095478769,-0.353167776443024,0.723962663984337,0.792307358662339
gene9,68.142433091911,1.2628125608411,0.403679223718919,3.12825750408298,0.00175846047712325,0.00546449355330756
gene10,3.43575707137326,-0.479025114008375,1.32190897601001,-0.362373750917587,0.717072752202591,0.788332111450436
gene11,16.7714636677682,-2.08208228585695,0.601080452325228,-3.46389951262364,0.000532405354971028,0.00187406684949802
gene12,2.6802440198683,-1.0133849865757,1.27275971810224,-0.79621076324345,0.425909542611715,0.537173208140899
gene13,12.9852117434558,2.14795493088823,0.905447590161305,2.37225760411552,0.0176797594842597,0.0413381815960468
gene14,87.1446356920734,2.62373693513012,0.393888966697046,6.66110796941445,2.71770888438061e-11,4.11053468762567e-10
gene15,1.08507941790465,0.00405542432252208,2.2644354425723,0.00179092070645003,0.998571052782568,0.999087110174187
gene16,1.83899912643644,-0.499469706706501,2.13516253582915,-0.233925847950747,0.815042546097228,0.868421777239535
gene17,11.3482125872638,-2.27103080765832,0.750025194689396,-3.02793935955553,0.00246227491783064,0.0073677963538178
gene18,96.8790376567857,0.217271459091948,0.338854980527234,0.641193051829693,0.521397263354643,0.619042490293008
gene19,7.50596430195993,-0.865398572060111,0.753869329056298,-1.14794240686702,0.250992340222009,0.358878264896461
gene20,6.86380839473247,-4.20333065171839,1.22720681453313,-3.42512003839994,0.000614527840392165,0.00212831108944406
gene21,72.1775564322137,2.29529368782778,1.02901411602618,2.23057551114234,0.0257092604436596,0.0566247192479237
gene22,37.2483111604404,2.30133791099072,0.615859794412933,3.73678868448372,0.000186385434747436,0.000744004539527911
gene23,12.315025683955,-0.519472325696667,0.771755037717529,-0.673105195701748,0.500880368692609,0.60380099239657
gene24,63.9785515360549,1.69715100668116,0.48903106511366,3.47043598607936,0.000519614183059401,0.00183237351257377
gene25,12.3343067734271,-0.496335430100103,0.69252295914258,-0.716706101288859,0.473555460409871,0.577497649969175
gene26,3.41109535629285,-1.98557467464101,1.39149365396422,-1.42693764285903,0.15359786935763,0.24352908945344
gene27,135.479976996548,-0.294657379602414,0.314831726914504,-0.935920221542448,0.349314264842193,0.46164585820777
gene28,3.74016192902247,0.819113286145694,1.38751934513099,0.590343687113326,0.554960255957566,0.649578630915265
gene29,27.0655042511783,-3.56309830698457,0.587290876845483,-6.06700775963532,1.30315263433017e-09,1.54779355832098e-08
gene30,8.43456039817396,1.09884606203301,0.918099238284667,1.19687068261383,0.231356962819292,0.33677224061515
gene31,32.3598135128663,-2.14282705455579,0.508426456993335,-4.21462538992906,2.50193119998729e-05,0.000122316636443823
gene32,0.366717733722292,-2.0638271995407,3.33041887114594,-0.619689978765517,0.535461914587859,NA
gene33,46.6661348098804,-0.302700637738255,0.429274583362336,-0.705144561244046,0.480720277664427,0.582764218884364
gene34,50.8202478677126,-1.87692464365026,0.483389724151858,-3.8828393527468,0.000103243781610953,0.0004441776915529
