,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene1,791.005000092989,2.13871652515781,0.473826259007023,4.51371464646097,6.37019141075572e-06,3.38351150341779e-05
gene2,12.9766152056906,-3.32605902357185,1.07171647155767,-3.10348782709073,0.00191254102546237,0.00566765206326044
gene3,122.908575027514,-0.0649057402530683,0.532624647001463,-0.121860189194155,0.903009745003236,0.93924609111091
gene4,87.7284281670131,1.35855869663242,0.539459972695328,2.51836793348095,0.0117900088828646,0.0277143618721751
gene5,111.757045579543,2.62604979547724,0.566219052431725,4.63786900882127,3.52019758488381e-06,1.97782199566882e-05
gene6,48.2516059709597,0.0376087126615979,0.61582927127623,0.0610700309578635,0.951303436418062,0.970778939840794
gene7,3.5682559330923,1.73099901328542,1.59449664870357,1.08560843617503,0.277652265833177,0.383621893944347
gene8,5.19939800824808,-6.17848195883895,3.85290109586643,-1.60359215176001,0.108803981818321,0.180359687354275
gene9,3.60436997725867,-2.56186944160222,1.59769081381046,-1.60348261344272,0.108828144684447,0.180359687354275
gene10,32.9432331569145,4.95414156986991,1.04528501430122,4.73951267079227,2.14232839108336e-06,1.25065657425407e-05
gene11,242.580822184869,6.18088235334194,0.563401610229864,10.9706508485487,5.28902961893785e-28,3.80810132563525e-26
gene12,7.19075868881215,-6.64686244518375,1.68197215713343,-3.95182667976617,7.75569057541581e-05,0.000324237902765771
gene13,16.5976924093124,-3.73398189991285,1.02827140045992,-3.63131941454632,0.000281975932679565,0.00102078438199083
gene14,15.7261835059623,1.80244310276748,0.857802388558489,2.10123348548426,0.0356204753103909,0.0713878391787627
gene15,1838.41671458802,7.91619972834875,0.568573337366797,13.9229176046324,4.59746654833561e-44,8.93747496996443e-42
gene16,17.4006420844087,-0.927573691885089,1.0183616341021,-0.910849015539497,0.362374932269092,0.47662846301158
gene17,14.4221664192888,1.3231121058378,1.03327138217631,1.28050784010974,0.200366589197083,0.298706019477859
gene18,7.35616147158749,0.277027010655046,1.33939308549172,0.206830252937542,0.836142428547125,0.890175728968024
gene19,17.4861617243009,-3.47871568115755,0.910141149155349,-3.82217163171443,0.000132281564927091,0.000522673500443628
gene20,13.6327324943927,1.89673301071508,0.968542510878176,1.95833738778829,0.0501904364386449,0.0942707327891069
gene21,9.10803243827142,-2.13702375344457,1.07971510486851,-1.97924780695258,0.0477881127841907,0.0909002849828442
gene22,9.38723977354792,-6.04945027882177,1.56458925346267,-3.86647822451383,0.000110418317980502,0.000445338610278207
gene23,95.9994476168972,-3.23454181320316,0.528851093127209,-6.11616739615044,9.58526381668974e-10,9.70507961439836e-09
gene24,6.32557435934209,-0.127289563233332,1.24405829616026,-0.10231800521423,0.918504264215966,0.953322098043693
gene25,1.55142738572375,-1.0058085559724,2.50420659298526,-0.401647595206345,0.687943396882698,0.764643775608899
gene26,55.3687019540116,-0.114582221987627,0.640502244785626,-0.178894333190007,0.85802067246906,0.907010433539888
gene27,113.628305625613,-0.964461956054388,0.453296352446261,-2.12766317410138,0.0333650202792375,0.0675641660654559
gene28,6.14828536681749,-2.79076337507375,1.32636928844041,-2.10406211859386,0.035373028717605,0.0710383965155207
gene29,5.35903032440303,1.15828958632314,1.5103219548015,0.766915678237205,0.443131651384194,0.547994866597248
gene30,79.650888181717,3.56929658014351,0.678673120573977,5.25922785497212,1.44661548859359e-07,1.06928536495283e-06
gene31,5.40674351579844,2.95199759854041,1.63588554763837,1.80452575230709,0.0711489258049119,0.127243341089925
gene32,28.3279642374576,-0.0881554461482863,0.711439239531886,-0.123911419626349,0.901385411080343,0.938560920803528
gene33,15.2878694359276,-1.22307531982937,0.94881423615341,-1.2890566701316,0.197378385785302,0.295839307607268
gene34,15.4732137800013,-2.22353960093424,0.921169243388584,-2.41382310242447,0.0157861245296151,0.0357255251287215
gene35,1008.76466320228,1.06761670521893,0.404297471362175,2.64067124046527,0.0082741966730931,0.0203866138561381
gene36,8.02197395794323,-6.80453322741314,1.65322325661971,-4.11591912959545,3.85639514365117e-05,0.00017108655851787
gene37,7.9786959716511,1.01121305118002,1.3141131806591,0.769502251452073,0.441595208479041,0.547129952755913
gene38,6.81309179129626,-0.442971729604517,1.27039708632592,-0.348687614583267,0.727323843522744,0.799639022439298
gene39,375.492472922639,3.17140500134817,0.46922706867873,6.75878527272169,1.39153443864334e-11,1.80342863248177e-10
gene40,13.2455824503029,-4.6154339925182,1.15029394486343,-4.01239527785758,6.01057454826242e-05,0.000255679582534401
gene41,189.962361135547,1.08905572712702,0.502520554667505,2.1671864305085,0.030220641637588,0.062498858876033
gene42,0.517757815365236,2.18746264038842,3.97309403462291,0.550569058100845,0.581929124713701,NA
gene43,10.1074203708239,-0.760805114341121,1.06225430063291,-0.716217495083636,0.473857061951353,0.575736330270893
gene44,718.360392024497,4.35974263816768,0.40767456229581,10.694173837131,1.08381194933947e-26,6.79654977263205e-25
gene45,2.27929308300164,3.22548788864368,2.74320618217171,1.1758094997038,0.23967100940778,0.342085493604056
gene46,4.61420809665546,-4.05810486404321,1.72988966208907,-2.34587497282486,0.0189824738337631,0.0418389219193145
gene47,5.18284156095985,0.606530845572992,1.29641014515316,0.467854133848462,0.639888905232585,0.722383293712048
gene48,31.7164974164268,-3.81986933582591,0.934598121132977,-4.0871784882204,4.36651182758505e-05,0.000191182409748318
gene49,42.6425241985428,-1.92402616114067,0.717026659717958,-2.6833397825089,0.00728908915486758,0.018166652970593
gene50,138.183632790946,4.26927529265366,0.675244749322578,6.3225597784162,2.57265447483451e-10,2.77846683282127e-09
gene51,10.7050351928561,-2.85382572481032,1.09282613047512,-2.61141790558172,0.00901676335455232,0.0219163619244493
gene52,1.05052410997954,0.665074281750253,3.17584267564703,0.209416633528534,0.834123008953902,0.889378187758949
gene53,51.0238431689349,3.03385320045344,0.633316120386786,4.79042472280759,1.66428653409467e-06,1.0016634743901e-05
gene54,11.6242771727224,2.04033988537735,1.3042399341907,1.56438998062378,0.117726012243438,0.191995290160903
gene55,100.704181106682,-5.56701134691999,0.660587455541929,-8.4273646134454,3.53536946522259e-17,8.18185504808656e-16
gene56,847.282461135418,1.92393176472572,0.493776073048181,3.89636491061402,9.76472316954359e-05,0.000399634144033532
gene57,23.0979469372911,0.170383521304154,0.740187577168958,0.230189652676732,0.81794440195861,0.878014311103003
gene58,412.895556305403,4.61990920686427,0.574447259607318,8.04235572474026,8.8127618440443e-16,1.66330184707011e-14
gene59,38.7614672085997,-1.99022884878214,0.684329778384386,-2.9082891197294,0.00363412184287871,0.0100067037713261
gene60,3.92427248217679,-0.792884921824974,1.66805223633216,-0.475335786586893,0.634547655529269,0.718021328491792
gene61,28.2884389208196,0.847061121442966,0.727538103976463,1.16428420286612,0.244308856255535,0.346922145040731
gene62,72.7194564178196,-4.30458884607034,0.604268210093975,-7.12363942726839,1.05113813383109e-12,1.53640040012604e-11
gene63,57.2459870052028,0.0859005808803307,0.556244147023665,0.15442963551161,0.877270988171607,0.920520463854501
gene64,41.6655081098048,-0.193243330513747,0.59909467058366,-0.322558920989036,0.747029308329316,0.816315331867449
gene65,202.039847257705,3.43437772268919,0.503711005260469,6.81815105650367,9.22196500989265e-12,1.21955782171642e-10
gene66,6.59335092329245,1.14947553916333,1.27944198120219,0.898419432886877,0.368961980076193,0.482679737057953
gene67,7.89580668431984,6.11767856753156,3.91114511459798,1.56416558022813,0.117778688146314,0.191995290160903
gene68,55.5913838649972,-4.35696306719885,0.674496420081768,-6.45957923197081,1.04994503230143e-10,1.20774742177159e-09
gene69,1180.13268773381,2.99526943657947,0.407445270829487,7.35134176543914,1.96226969981186e-13,3.0763324971244e-12
gene70,7.54379054516895,-5.72922154794778,1.65951089424942,-3.4523554908864,0.000555715054677123,0.00189196158720197
gene71,140.189990828713,-0.926363122134499,0.470045039509076,-1.97079650729218,0.0487471563802902,0.0920937531615978
gene72,27.7288417325857,-5.11256196375732,0.891271821244974,-5.73625446456485,9.67932028197289e-09,8.36293272362457e-08
gene73,25.9175816804379,-2.67548987982123,0.710352948004695,-3.76642327921125,0.000165602941086123,0.00063748934152757
gene74,2.2410367424047,-4.96582165950883,2.46092298307114,-2.01786959350986,0.0436048445382888,0.0844300973928621
gene75,38.5591963249593,-4.56683020013793,0.753527398452328,-6.06060271931419,1.35612412548429e-09,1.35892025770178e-08
gene76,9.30005576287423,-1.8024742271377,1.03596379075208,-1.7399007988775,0.0818764383985259,0.142256952377761
